Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.625      671.44457819],[ 0.50928872 44.89763978],[  7.         537.76312481],[  9.         791.18035176],"[9, 19, 15, 10, 21, 2, 20, 23, 17, 16, 14, 3, 18, 13, 5, 12, 8, 6, 4, 25, 11, 1, 7, 24, 22]","(7.0, 537.7631248071702)"
1,346,[  7.4225    626.7919196],[ 0.49899274 29.16859645],[  7.         502.34681044],[  9.         671.67031888],"[11, 8, 12, 14, 6, 3, 2, 21, 24, 23, 13, 10, 9, 1, 5, 22, 7, 20, 25, 17, 15, 4, 18, 16, 19]","(7.0, 502.3468104359956)"
2,326,[  7.315      596.87398387],[ 0.46451588 22.23403507],[  7.         502.34681044],[  8.         625.40756717],"[11, 8, 12, 14, 6, 3, 2, 21, 24, 23, 13, 10, 9, 1, 5, 22, 7, 20, 25, 17, 15, 4, 18, 16, 19]","(7.0, 502.3468104359956)"
3,350,[  7.2575     576.27996573],[ 0.44293764 18.5111526 ],[  7.         502.34681044],[  9.         601.28836443],"[11, 8, 12, 14, 6, 3, 2, 21, 24, 23, 13, 10, 9, 1, 5, 22, 7, 20, 25, 17, 15, 4, 18, 16, 19]","(7.0, 502.3468104359956)"
4,352,[  7.19       559.76968282],[ 0.40484565 15.55974562],[  7.         502.34681044],[  9.         577.96144478],"[11, 8, 12, 14, 6, 3, 2, 21, 24, 23, 13, 10, 9, 1, 5, 22, 7, 20, 25, 17, 15, 4, 18, 16, 19]","(7.0, 502.3468104359956)"
5,330,[  7.205      544.55297624],[ 0.40370162 13.7927466 ],[  7.         489.49000602],[  8.         563.37226007],"[11, 8, 12, 14, 6, 3, 2, 21, 25, 23, 13, 10, 9, 1, 5, 22, 7, 20, 24, 17, 15, 4, 18, 16, 19]","(7.0, 489.4900060228242)"
6,346,[  7.1575     532.61049098],[ 0.36427153 11.09794545],[  7.         489.49000602],[  8.         543.03373704],"[11, 8, 12, 14, 6, 3, 2, 21, 25, 23, 13, 10, 9, 1, 5, 22, 7, 20, 24, 17, 15, 4, 18, 16, 19]","(7.0, 489.4900060228242)"
7,338,[  7.2075     524.54413974],[ 0.40551665 13.97162346],[  7.         486.28380243],[  8.         537.16933938],"[11, 13, 12, 14, 6, 3, 22, 21, 24, 23, 10, 1, 9, 5, 8, 2, 7, 20, 25, 4, 15, 17, 18, 16, 19]","(7.0, 486.2838024272761)"
8,346,[  7.09       512.87459511],[ 0.28618176 13.57980023],[  7.        469.4383701],[  8.         531.80313779],"[11, 8, 12, 14, 6, 3, 2, 21, 24, 23, 13, 10, 9, 1, 5, 7, 22, 20, 25, 17, 15, 4, 18, 16, 19]","(7.0, 469.43837009958554)"
9,332,[  7.         500.55071173],[0.         5.87500528],[  7.        469.4383701],[  7.        508.6014362],"[11, 8, 12, 14, 6, 3, 2, 21, 24, 23, 13, 10, 9, 1, 5, 7, 22, 20, 25, 17, 15, 4, 18, 16, 19]","(7.0, 469.43837009958554)"
10,334,[  7.         495.99976323],[0.         6.18610928],[  7.        469.4383701],[  7.         502.34681044],"[11, 8, 12, 14, 6, 3, 2, 21, 24, 23, 13, 10, 9, 1, 5, 7, 22, 20, 25, 17, 15, 4, 18, 16, 19]","(7.0, 469.43837009958554)"
11,350,[  7.         490.32665658],[0.         4.97779977],[  7.        469.4383701],[  7.         497.71193728],"[11, 8, 12, 14, 6, 3, 2, 21, 24, 23, 13, 10, 9, 1, 5, 7, 22, 20, 25, 17, 15, 4, 18, 16, 19]","(7.0, 469.43837009958554)"
12,322,[  7.         486.77034726],[0.        5.3618322],[  7.         464.28936012],[  7.         489.49000602],"[11, 2, 12, 14, 6, 3, 8, 7, 25, 23, 13, 10, 9, 1, 5, 22, 21, 20, 24, 17, 15, 4, 18, 16, 19]","(7.0, 464.28936012093845)"
13,342,[  7.         483.58453381],[0.         6.63810872],[  7.         464.28936012],[  7.         489.49000602],"[11, 2, 12, 14, 6, 3, 8, 7, 25, 23, 13, 10, 9, 1, 5, 22, 21, 20, 24, 17, 15, 4, 18, 16, 19]","(7.0, 464.28936012093845)"
14,330,[  7.         478.94184905],[0.         7.13773473],[  7.         464.28936012],[  7.         486.28380243],"[11, 2, 12, 14, 6, 3, 8, 7, 25, 23, 13, 10, 9, 1, 5, 22, 21, 20, 24, 17, 15, 4, 18, 16, 19]","(7.0, 464.28936012093845)"
15,336,[  7.         472.07108275],[0.         4.28764061],[  7.         453.87023457],[  7.         481.13344716],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 22, 7, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 453.8702345696207)"
16,346,[  7.         468.46323522],[0.         2.21722437],[  7.         453.87023457],[  7.         470.80523729],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 22, 7, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 453.8702345696207)"
17,348,[  7.         467.18904122],[0.         2.63730339],[  7.         453.87023457],[  7.        469.4383701],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 22, 7, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 453.8702345696207)"
