Generation,evals,avg,std,min,max,best_one,fitness_best_one
18,316,[  7.         464.61125642],[0.         1.94155559],[  7.         452.57895083],[  7.         468.04392138],"[11, 13, 12, 14, 6, 3, 2, 21, 25, 23, 8, 10, 9, 1, 5, 7, 22, 20, 24, 17, 15, 4, 18, 16, 19]","(7.0, 452.57895082524476)"
19,342,[  7.         463.52392221],[0.         2.52292321],[  7.         441.66517437],[  7.         464.78401103],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 7, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 441.6651743696573)"
20,326,[  7.         462.43671353],[0.         3.38590108],[  7.         441.66517437],[  7.         464.28936012],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 7, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 441.6651743696573)"
21,336,[  7.         460.31627202],[0.         4.13121037],[  7.         441.66517437],[  7.         464.28936012],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 7, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 441.6651743696573)"
22,348,[  7.         457.03949888],[0.        3.6910644],[  7.         441.66517437],[  7.         462.00754604],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 7, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 441.6651743696573)"
23,340,[  7.         453.66701417],[0.        2.5926639],[  7.         441.66517437],[  7.         457.72720962],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 7, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 441.6651743696573)"
24,334,[  7.         452.15348508],[0.         2.89906199],[  7.         441.66517437],[  7.         453.87023457],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 7, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 441.6651743696573)"
25,330,[  7.         449.90956268],[0.         3.41402812],[  7.         441.66517437],[  7.         453.87023457],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 7, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 441.6651743696573)"
26,346,[  7.         447.05820508],[0.         3.38596416],[  7.         441.66517437],[  7.        450.2400942],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 10, 3, 5, 7, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 441.6651743696573)"
27,356,[  7.         444.04707143],[0.         2.87218945],[  7.         436.36338955],[  7.        448.0992639],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 7, 3, 5, 22, 21, 20, 10, 17, 15, 4, 18, 16, 19]","(7.0, 436.36338954721623)"
28,346,[  7.         441.55384652],[0.         0.80310605],[  7.         436.36338955],[  7.         442.39822202],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 7, 3, 5, 22, 21, 20, 10, 17, 15, 4, 18, 16, 19]","(7.0, 436.36338954721623)"
29,334,[  7.         441.23545757],[0.         1.24948317],[  7.         434.64461126],[  7.         441.66517437],"[11, 13, 14, 12, 6, 1, 2, 25, 24, 23, 8, 9, 7, 3, 5, 22, 21, 20, 10, 17, 15, 4, 18, 16, 19]","(7.0, 434.64461125931643)"
30,342,[  7.         440.81069531],[0.         1.64362625],[  7.         434.11375187],[  7.         441.66517437],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 7, 3, 5, 10, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 434.1137518668098)"
31,326,[  7.        439.7120713],[0.         2.06580492],[  7.         434.11375187],[  7.         441.66517437],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 7, 3, 5, 10, 22, 20, 21, 17, 15, 4, 18, 16, 19]","(7.0, 434.1137518668098)"
32,348,[  7.         437.82353827],[0.         1.53653057],[  7.         430.24795102],[  7.         439.94639608],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 4, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 16, 19]","(7.0, 430.24795101902214)"
33,352,[  7.         436.51285559],[0.         1.23623473],[  7.         430.24795102],[  7.         438.36886775],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 4, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 16, 19]","(7.0, 430.24795101902214)"
34,356,[  7.        435.7234556],[0.         1.17647366],[  7.         430.24795102],[  7.         436.36338955],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 4, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 16, 19]","(7.0, 430.24795101902214)"
35,336,[  7.         434.92002573],[0.        1.4424531],[  7.         430.24795102],[  7.         436.36338955],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 4, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 16, 19]","(7.0, 430.24795101902214)"
36,328,[  7.         433.68946718],[0.         1.19597828],[  7.         429.74291431],[  7.         434.64461126],"[11, 13, 12, 14, 7, 1, 2, 25, 24, 23, 8, 9, 6, 3, 5, 20, 21, 22, 10, 17, 15, 4, 18, 16, 19]","(7.0, 429.742914306384)"
37,342,[  7.         432.91671821],[0.         1.45611269],[  7.         429.74291431],[  7.         434.11375187],"[11, 13, 12, 14, 7, 1, 2, 25, 24, 23, 8, 9, 6, 3, 5, 20, 21, 22, 10, 17, 15, 4, 18, 16, 19]","(7.0, 429.742914306384)"
38,342,[  7.         431.82404729],[0.         1.33102088],[  7.         428.69456084],[  7.         434.08146865],"[11, 13, 14, 12, 6, 1, 2, 25, 24, 20, 8, 9, 7, 3, 5, 22, 21, 23, 10, 17, 15, 4, 18, 16, 19]","(7.0, 428.6945608361001)"
39,348,[  7.         430.68074014],[0.         0.84235569],[  7.         425.32765149],[  7.         432.17976543],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 4, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 425.3276514934827)"
40,356,[  7.         430.10628556],[0.         0.54479094],[  7.         425.32765149],[  7.         430.24795102],"[11, 13, 12, 14, 6, 1, 2, 25, 24, 23, 8, 9, 4, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 425.3276514934827)"
41,330,[  7.         429.92065003],[0.         0.81743646],[  7.         423.96577888],[  7.         430.24795102],"[11, 13, 12, 14, 4, 1, 2, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 16, 19]","(7.0, 423.9657788847858)"
42,330,[  7.         429.47260352],[0.         1.15835629],[  7.         423.39366506],[  7.         430.24795102],"[11, 13, 12, 14, 6, 2, 1, 25, 24, 23, 8, 9, 4, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 423.3936650576637)"
43,322,[  7.         428.77600236],[0.         1.56988066],[  7.         422.63734372],[  7.         429.74291431],"[11, 13, 12, 14, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 16, 19]","(7.0, 422.6373437244308)"
44,348,[  7.         427.64306944],[0.         1.81313403],[  7.         422.63734372],[  7.         429.74291431],"[11, 13, 12, 14, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 16, 19]","(7.0, 422.6373437244308)"
45,324,[  7.         426.03129477],[0.         1.31663697],[  7.         421.70888555],[  7.         427.58454482],"[11, 13, 12, 14, 4, 1, 2, 25, 24, 23, 8, 9, 6, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 421.70888555412887)"
46,352,[  7.         424.94036242],[0.         0.89158971],[  7.         421.70888555],[  7.         426.62918508],"[11, 13, 12, 14, 4, 1, 2, 25, 24, 23, 8, 9, 6, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 421.70888555412887)"
47,342,[  7.         424.39751496],[0.         1.06100973],[  7.         421.70888555],[  7.         425.32765149],"[11, 13, 12, 14, 4, 1, 2, 25, 24, 23, 8, 9, 6, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 421.70888555412887)"
48,332,[  7.         423.43531377],[0.         0.77478662],[  7.         421.70888555],[  7.         425.32765149],"[11, 13, 12, 14, 4, 1, 2, 25, 24, 23, 8, 9, 6, 3, 5, 7, 22, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 421.70888555412887)"
49,334,[  7.        422.8278009],[0.         0.59824187],[  7.         420.38355708],[  7.         423.39366506],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 16, 19]","(7.0, 420.3835570824326)"
50,342,[  7.         422.27694032],[0.         0.52541326],[  7.        417.7170442],[  7.         422.63734372],"[11, 13, 12, 14, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 417.71704419889136)"
51,338,[  7.         421.85690442],[0.         0.60667118],[  7.        417.7170442],[  7.         422.63734372],"[11, 13, 12, 14, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 417.71704419889136)"
52,330,[  7.         421.54340531],[0.         0.61211464],[  7.        417.7170442],[  7.         421.70888555],"[11, 13, 12, 14, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 417.71704419889136)"
53,338,[  7.         421.33762915],[0.         0.89517898],[  7.        417.7170442],[  7.         421.70888555],"[11, 13, 12, 14, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 417.71704419889136)"
54,350,[  7.         420.89031166],[0.         1.23278476],[  7.        417.7170442],[  7.         421.70888555],"[11, 13, 12, 14, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 417.71704419889136)"
55,350,[  7.         419.96107906],[0.         1.37673654],[  7.         417.57401772],[  7.         421.70888555],"[11, 13, 12, 14, 6, 2, 1, 25, 24, 20, 8, 9, 4, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 417.5740177195862)"
56,322,[  7.        418.8599467],[0.         1.25250952],[  7.         415.46325756],[  7.         420.38355708],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 415.46325755689315)"
57,334,[  7.        417.6817399],[0.         0.27425146],[  7.         415.46325756],[  7.         417.75575485],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 415.46325755689315)"
58,358,[  7.         417.63316933],[0.         0.41444016],[  7.         415.46325756],[  7.        417.7170442],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 415.46325755689315)"
59,342,[  7.         417.52057038],[0.         0.61491631],[  7.         415.46325756],[  7.        417.7170442],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 20, 21, 17, 15, 10, 18, 19, 16]","(7.0, 415.46325755689315)"
60,338,[  7.         417.25541288],[0.         0.88338097],[  7.       413.485605],[  7.        417.7170442],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 21, 20, 17, 15, 10, 18, 19, 16]","(7.0, 413.48560499803705)"
61,350,[  7.         416.68418524],[0.        1.0909199],[  7.       413.485605],[  7.        417.7170442],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 22, 8, 9, 6, 3, 5, 7, 23, 21, 20, 17, 15, 10, 18, 19, 16]","(7.0, 413.48560499803705)"
62,360,[  7.         415.71567607],[0.         0.74570897],[  7.         412.30701641],[  7.         417.57401772],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 412.3070164136982)"
63,334,[  7.         415.35504692],[0.        0.4438454],[  7.         412.30701641],[  7.         415.46325756],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 412.3070164136982)"
64,328,[  7.         415.21892892],[0.         0.63566422],[  7.         412.30701641],[  7.         415.46325756],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 412.3070164136982)"
65,356,[  7.         414.96535811],[0.         0.82948121],[  7.         412.30701641],[  7.         415.46325756],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 412.3070164136982)"
66,326,[  7.         414.44306324],[0.         0.93299508],[  7.         412.30701641],[  7.         415.46325756],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 412.3070164136982)"
67,316,[  7.         413.59445344],[0.        0.4623313],[  7.         412.30701641],[  7.         414.56080306],"[11, 14, 12, 13, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 412.3070164136982)"
68,344,[  7.         413.25241484],[0.        0.4107374],[  7.         410.11914404],[  7.       413.485605],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
69,338,[  7.        413.0228094],[0.         0.52041139],[  7.         410.11914404],[  7.       413.485605],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
70,344,[  7.         412.71671986],[0.         0.63636379],[  7.         410.11914404],[  7.         413.27538518],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
71,344,[  7.         412.27349933],[0.         0.63658771],[  7.         410.11914404],[  7.        412.7686933],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
72,334,[  7.         411.88700591],[0.         0.78745396],[  7.         410.11914404],[  7.         412.30701641],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
73,348,[  7.         411.41199777],[0.         0.95426213],[  7.         410.11914404],[  7.         412.30701641],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
74,356,[  7.         410.57679259],[0.       0.594462],[  7.         410.11914404],[  7.         411.98347162],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
75,332,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
76,346,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
77,334,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
78,338,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
79,332,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
80,344,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
81,346,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
82,334,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
83,350,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
84,358,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
85,338,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
86,330,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
87,330,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
88,348,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
89,338,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
90,340,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
91,336,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
92,358,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
93,340,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
94,346,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
95,324,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
96,338,[  7.         410.11914404],[0.00000000e+00 1.30739863e-12],[  7.         410.11914404],[  7.         410.11914404],"[13, 14, 12, 11, 4, 2, 1, 25, 24, 20, 8, 9, 6, 3, 5, 7, 23, 22, 21, 17, 15, 10, 18, 19, 16]","(7.0, 410.11914404081256)"
