Generation,evals,avg,std,min,max,best_one,fitness_best_one
22,336,[  7.         456.48160585],[0.         3.08715837],[  7.         444.79140366],[  7.        459.3364282],"[24, 25, 21, 6, 19, 18, 22, 5, 4, 3, 7, 2, 1, 9, 11, 10, 12, 14, 16, 20, 23, 17, 13, 8, 15]","(7.0, 444.79140366286424)"
23,338,[  7.         453.80039083],[0.         2.54306903],[  7.         444.79140366],[  7.         456.97482811],"[24, 25, 21, 6, 19, 18, 22, 5, 4, 3, 7, 2, 1, 9, 11, 10, 12, 14, 16, 20, 23, 17, 13, 8, 15]","(7.0, 444.79140366286424)"
24,336,[  7.        451.4572115],[0.         1.39819195],[  7.         444.79140366],[  7.         452.88848636],"[24, 25, 21, 6, 19, 18, 22, 5, 4, 3, 7, 2, 1, 9, 11, 10, 12, 14, 16, 20, 23, 17, 13, 8, 15]","(7.0, 444.79140366286424)"
25,336,[  7.        450.6167981],[0.        1.7882582],[  7.         444.79140366],[  7.         451.69896934],"[24, 25, 21, 6, 19, 18, 22, 5, 4, 3, 7, 2, 1, 9, 11, 10, 12, 14, 16, 20, 23, 17, 13, 8, 15]","(7.0, 444.79140366286424)"
26,340,[  7.         449.38509622],[0.         2.09802521],[  7.         443.95405692],[  7.         451.69896934],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 13, 11, 10, 6, 16, 14, 17, 15, 23, 7, 8, 9]","(7.0, 443.95405692435565)"
27,348,[  7.         447.60304053],[0.         1.49135664],[  7.         443.95405692],[  7.         448.51109103],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 13, 11, 10, 6, 16, 14, 17, 15, 23, 7, 8, 9]","(7.0, 443.95405692435565)"
28,326,[  7.         446.57752577],[0.         1.68768435],[  7.         443.95405692],[  7.         448.51109103],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 13, 11, 10, 6, 16, 14, 17, 15, 23, 7, 8, 9]","(7.0, 443.95405692435565)"
29,338,[  7.         444.98902772],[0.         0.74905803],[  7.         442.81978835],[  7.         447.55046184],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 13, 11, 10, 6, 16, 14, 15, 17, 23, 7, 8, 9]","(7.0, 442.81978834648663)"
30,328,[  7.         444.70419318],[0.         0.29344166],[  7.         442.81978835],[  7.         444.79140366],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 13, 11, 10, 6, 16, 14, 15, 17, 23, 7, 8, 9]","(7.0, 442.81978834648663)"
31,316,[  7.         444.55106325],[0.         0.96441913],[  7.         427.21729525],[  7.         444.79140366],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 10, 6, 16, 14, 17, 15, 13, 7, 8, 9]","(7.0, 427.21729525155075)"
32,330,[  7.         444.28641839],[0.        1.3343955],[  7.         427.21729525],[  7.         444.79140366],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 10, 6, 16, 14, 17, 15, 13, 7, 8, 9]","(7.0, 427.21729525155075)"
33,340,[  7.         443.68490571],[0.         2.40880582],[  7.         422.05354364],[  7.         444.79140366],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 17, 15, 13, 7, 8, 10]","(7.0, 422.05354364183603)"
34,332,[  7.         442.95219705],[0.         3.40894348],[  7.         422.05354364],[  7.         443.95405692],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 17, 15, 13, 7, 8, 10]","(7.0, 422.05354364183603)"
35,324,[  7.         441.64596353],[0.         4.98078458],[  7.         422.05354364],[  7.         443.95405692],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 17, 15, 13, 7, 8, 10]","(7.0, 422.05354364183603)"
36,332,[  7.         439.13134767],[0.         6.79020204],[  7.         422.05354364],[  7.         443.61983079],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 17, 15, 13, 7, 8, 10]","(7.0, 422.05354364183603)"
