Generation,evals,avg,std,min,max,best_one,fitness_best_one
96,332,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
97,360,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
98,332,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
99,344,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
100,342,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
101,346,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
102,352,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
103,342,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
104,350,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
105,346,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
106,346,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
107,308,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
108,342,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
109,326,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
110,354,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
111,342,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
112,344,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
113,328,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
114,350,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
115,330,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
116,350,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
117,364,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
118,350,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
119,344,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
120,328,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
121,348,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
122,342,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
123,356,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
124,326,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
125,344,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
126,334,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
127,368,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
128,342,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
129,322,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
130,344,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
131,348,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
132,328,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
133,328,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
134,350,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
135,336,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
136,338,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
137,348,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
138,336,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
139,348,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
140,330,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
141,350,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
142,334,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
143,346,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
144,348,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
145,356,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
146,346,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
147,352,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
148,334,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
149,356,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
150,346,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
151,326,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
152,320,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
153,332,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
154,332,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
155,334,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
156,332,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
157,338,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
158,344,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
159,348,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
160,324,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
161,338,[  7.         406.64367713],[0.         0.02166385],[  7.         406.21094215],[  7.         406.64476168],"[24, 25, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.2109421500225)"
162,348,[  7.         406.64150804],[0.         0.03742872],[  7.         406.21094215],[  7.         406.64476168],"[24, 25, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.2109421500225)"
163,334,[  7.         406.63716984],[0.         0.05688456],[  7.         406.21094215],[  7.         406.64476168],"[24, 25, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.2109421500225)"
164,322,[  7.        406.6317471],[0.         0.07400407],[  7.         406.21094215],[  7.         406.64476168],"[24, 25, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.2109421500225)"
165,332,[  7.         406.61764796],[0.         0.10501099],[  7.         406.21094215],[  7.         406.64476168],"[24, 25, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.2109421500225)"
166,340,[  7.         406.58836514],[0.       0.145895],[  7.         406.21094215],[  7.         406.64476168],"[24, 25, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.2109421500225)"
167,336,[  7.         406.52871496],[0.         0.19203253],[  7.         406.21094215],[  7.         406.64476168],"[24, 25, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.2109421500225)"
168,346,[  7.         406.41700643],[0.         0.21663846],[  7.         406.21094215],[  7.         406.64476168],"[24, 25, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.2109421500225)"
169,314,[  7.         406.21094215],[0.00000000e+00 1.30739863e-12],[  7.         406.21094215],[  7.         406.21094215],"[24, 25, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.2109421500225)"
170,344,[  7.        406.2103111],[0.         0.01260516],[  7.         405.95852329],[  7.         406.21094215],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
171,336,[  7.         406.20904901],[0.         0.02177798],[  7.         405.95852329],[  7.         406.21094215],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
172,334,[  7.         406.20652482],[0.         0.03309841],[  7.         405.95852329],[  7.         406.21094215],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
173,356,[  7.         406.20273854],[0.         0.04475989],[  7.         405.95852329],[  7.         406.21094215],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
174,356,[  7.         406.19516597],[0.         0.06110088],[  7.         405.95852329],[  7.         406.21094215],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
175,334,[  7.         406.17560351],[0.         0.08758607],[  7.         405.95852329],[  7.         406.21094215],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
176,344,[  7.         406.12827497],[0.         0.11846051],[  7.         405.95852329],[  7.         406.21094215],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
177,338,[  7.         406.03424895],[0.         0.11567285],[  7.         405.95852329],[  7.         406.21094215],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
178,334,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
179,348,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
180,348,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
181,336,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
182,332,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
183,354,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
184,334,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
185,336,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
186,360,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
187,336,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
188,344,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
189,350,[  7.         405.95852329],[0.00000000e+00 1.47792889e-12],[  7.         405.95852329],[  7.         405.95852329],"[25, 24, 20, 17, 19, 18, 22, 5, 3, 4, 2, 1, 21, 23, 11, 9, 6, 16, 14, 12, 15, 13, 10, 8, 7]","(7.0, 405.9585232933095)"
