Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.6025     671.56120113],[ 0.49446309 43.24918558],[  7.         550.35231168],[  9.         783.39532312],"[10, 25, 23, 18, 14, 8, 22, 19, 17, 16, 6, 1, 24, 21, 3, 15, 12, 13, 11, 4, 9, 7, 5, 2, 20]","(7.0, 556.5366134062393)"
1,350,[  7.3825     629.96615763],[ 0.48599769 23.08317739],[  7.         550.35231168],[  8.        663.7486542],"[10, 25, 23, 18, 14, 8, 22, 19, 17, 16, 6, 1, 24, 21, 3, 15, 12, 13, 11, 4, 9, 7, 5, 2, 20]","(7.0, 556.5366134062393)"
2,342,[  7.34       606.29275262],[ 0.47370877 17.76071246],[  7.         548.48756964],[  8.         628.84469598],"[15, 5, 3, 10, 6, 14, 18, 7, 21, 25, 22, 8, 11, 2, 13, 9, 1, 4, 12, 19, 20, 24, 17, 16, 23]","(7.0, 548.4875696410903)"
3,334,[  7.2525     588.24562811],[ 0.43444649 15.39760261],[  7.         531.02194419],[  8.         607.79536234],"[4, 15, 22, 10, 24, 13, 9, 12, 5, 1, 6, 3, 7, 2, 11, 16, 14, 23, 8, 19, 18, 17, 20, 21, 25]","(7.0, 531.0219441895737)"
4,342,[  7.2025     573.55602919],[ 0.40186285 12.80363052],[  7.         530.24928433],[  8.         589.89293803],"[1, 18, 16, 2, 9, 5, 4, 8, 11, 6, 24, 20, 10, 3, 7, 21, 17, 12, 13, 22, 25, 15, 23, 19, 14]","(7.0, 530.2492843322004)"
5,336,[  7.165      560.26590679],[ 0.37118055 10.87639823],[  7.         514.42322752],[  8.         574.38856343],"[18, 19, 16, 11, 2, 4, 8, 25, 10, 9, 3, 20, 5, 7, 1, 6, 17, 12, 22, 23, 15, 14, 21, 24, 13]","(7.0, 514.4232275162309)"
6,342,[  7.1425     550.19021291],[0.34956223 9.16295109],[  7.         514.42322752],[  8.         561.18698169],"[18, 19, 16, 11, 2, 4, 8, 25, 10, 9, 3, 20, 5, 7, 1, 6, 17, 12, 22, 23, 15, 14, 21, 24, 13]","(7.0, 514.4232275162309)"
7,342,[  7.1275    541.4252421],[0.33353223 9.89412956],[  7.         471.64121438],[  8.         550.99219479],"[18, 19, 16, 11, 2, 4, 8, 3, 10, 9, 25, 20, 5, 7, 1, 6, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 471.6412143781262)"
8,318,[  7.0475    531.9884474],[0.21270578 9.33357521],[  7.         471.64121438],[  8.         543.94431912],"[18, 19, 16, 11, 2, 4, 8, 3, 10, 9, 25, 20, 5, 7, 1, 6, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 471.6412143781262)"
9,330,[  7.085      524.83609146],[0.2788817  9.52312801],[  7.         471.64121438],[  8.         532.56955954],"[18, 19, 16, 11, 2, 4, 8, 3, 10, 9, 25, 20, 5, 7, 1, 6, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 471.6412143781262)"
10,338,[  7.1225     517.10896006],[ 0.32786239 11.2967633 ],[  7.         464.56368691],[  8.         529.47240207],"[18, 19, 16, 9, 2, 4, 8, 3, 10, 11, 25, 20, 5, 7, 1, 6, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 464.5636869070001)"
11,340,[  7.04       508.90252722],[ 0.19595918 12.75170228],[  7.         464.56368691],[  8.         517.87995929],"[18, 19, 16, 9, 2, 4, 8, 3, 10, 11, 25, 20, 5, 7, 1, 6, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 464.5636869070001)"
12,328,[  7.0475     501.13949272],[ 0.21270578 15.26076271],[  7.         463.87933326],[  8.         514.42322752],"[18, 19, 16, 11, 2, 4, 8, 3, 10, 20, 25, 9, 5, 7, 1, 6, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 463.87933325570253)"
13,330,[  7.02       488.06882692],[ 0.14       14.68886867],[  7.         462.54441064],[  8.         507.40414483],"[24, 15, 22, 10, 11, 13, 9, 8, 5, 1, 6, 3, 7, 2, 4, 16, 14, 23, 12, 19, 18, 17, 20, 21, 25]","(7.0, 462.54441064241075)"
14,340,[  7.         473.96160172],[0.         5.44987344],[  7.         462.54441064],[  7.         481.97080709],"[24, 15, 22, 10, 11, 13, 9, 8, 5, 1, 6, 3, 7, 2, 4, 16, 14, 23, 12, 19, 18, 17, 20, 21, 25]","(7.0, 462.54441064241075)"
15,338,[  7.         469.58981661],[0.         3.19379575],[  7.         454.36949697],[  7.         471.64121438],"[18, 19, 16, 1, 2, 4, 8, 3, 10, 11, 25, 20, 5, 7, 9, 6, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 454.36949696879987)"
16,342,[  7.         466.91370401],[0.         4.15213141],[  7.         438.14433993],[  7.         471.64121438],"[18, 19, 16, 3, 6, 4, 8, 9, 10, 11, 25, 20, 5, 7, 1, 2, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 438.14433993179676)"
17,334,[  7.        463.3202429],[0.         3.79877936],[  7.         438.14433993],[  7.         465.29911585],"[18, 19, 16, 3, 6, 4, 8, 9, 10, 11, 25, 20, 5, 7, 1, 2, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 438.14433993179676)"
18,342,[  7.         461.58334208],[0.         5.48997689],[  7.         438.14433993],[  7.         464.56368691],"[18, 19, 16, 3, 6, 4, 8, 9, 10, 11, 25, 20, 5, 7, 1, 2, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 438.14433993179676)"
19,346,[  7.         458.75005117],[0.        6.7307509],[  7.         438.14433993],[  7.         463.87933326],"[18, 19, 16, 3, 6, 4, 8, 9, 10, 11, 25, 20, 5, 7, 1, 2, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 438.14433993179676)"
20,338,[  7.         454.22053741],[0.         7.52307443],[  7.         438.14433993],[  7.         462.54441064],"[18, 19, 16, 3, 6, 4, 8, 9, 10, 11, 25, 20, 5, 7, 1, 2, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 438.14433993179676)"
21,344,[  7.         447.29593488],[0.         5.25006385],[  7.         434.77485663],[  7.         454.36949697],"[18, 19, 16, 3, 4, 6, 8, 9, 10, 11, 25, 20, 5, 7, 1, 2, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 434.7748566338326)"
22,324,[  7.         442.57237723],[0.         3.49583827],[  7.         434.77485663],[  7.         447.79393567],"[18, 19, 16, 3, 4, 6, 8, 9, 10, 11, 25, 20, 5, 7, 1, 2, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 434.7748566338326)"
23,352,[  7.         439.31449196],[0.         2.10005193],[  7.         434.77485663],[  7.         443.10548944],"[18, 19, 16, 3, 4, 6, 8, 9, 10, 11, 25, 20, 5, 7, 1, 2, 17, 12, 13, 23, 15, 14, 21, 24, 22]","(7.0, 434.7748566338326)"
24,336,[  7.         437.83977137],[0.        0.9355132],[  7.         429.72992017],[  7.         438.14433993],"[18, 19, 16, 5, 7, 3, 8, 9, 10, 23, 25, 20, 1, 2, 4, 6, 17, 12, 13, 11, 15, 14, 21, 24, 22]","(7.0, 429.7299201667678)"
25,348,[  7.         437.50210239],[0.        1.3176548],[  7.         429.72992017],[  7.         438.14433993],"[18, 19, 16, 5, 7, 3, 8, 9, 10, 23, 25, 20, 1, 2, 4, 6, 17, 12, 13, 11, 15, 14, 21, 24, 22]","(7.0, 429.7299201667678)"
26,342,[  7.         436.68081664],[0.         1.77586792],[  7.         428.33196765],[  7.         438.14433993],"[18, 19, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 12, 13, 11, 15, 14, 21, 24, 22]","(7.0, 428.3319676533545)"
27,342,[  7.         435.10922316],[0.         1.68603718],[  7.         428.33196765],[  7.         437.22831293],"[18, 19, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 12, 13, 11, 15, 14, 21, 24, 22]","(7.0, 428.3319676533545)"
28,346,[  7.        433.8865481],[0.        1.8351456],[  7.         428.33196765],[  7.         435.22376649],"[18, 19, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 12, 13, 11, 15, 14, 21, 24, 22]","(7.0, 428.3319676533545)"
29,340,[  7.         432.79776055],[0.         2.30133485],[  7.         426.85014336],[  7.         434.77485663],"[18, 19, 16, 5, 3, 7, 8, 9, 10, 23, 25, 20, 1, 2, 4, 6, 17, 12, 13, 11, 15, 14, 21, 24, 22]","(7.0, 426.8501433590146)"
30,348,[  7.         430.84610295],[0.        2.0570068],[  7.         418.08229967],[  7.         434.40134416],"[12, 14, 16, 1, 2, 4, 5, 3, 10, 11, 25, 20, 8, 7, 9, 6, 17, 18, 13, 23, 15, 19, 21, 24, 22]","(7.0, 418.0822996722732)"
