Generation,evals,avg,std,min,max,best_one,fitness_best_one
31,332,[  7.         429.14845322],[0.         1.07005501],[  7.         418.08229967],[  7.         429.72992017],"[12, 14, 16, 1, 2, 4, 5, 3, 10, 11, 25, 20, 8, 7, 9, 6, 17, 18, 13, 23, 15, 19, 21, 24, 22]","(7.0, 418.0822996722732)"
32,326,[  7.         428.45030878],[0.         1.39204761],[  7.         418.08229967],[  7.         429.72992017],"[12, 14, 16, 1, 2, 4, 5, 3, 10, 11, 25, 20, 8, 7, 9, 6, 17, 18, 13, 23, 15, 19, 21, 24, 22]","(7.0, 418.0822996722732)"
33,338,[  7.         427.69942168],[0.         1.55512627],[  7.         418.08229967],[  7.         428.33196765],"[12, 14, 16, 1, 2, 4, 5, 3, 10, 11, 25, 20, 8, 7, 9, 6, 17, 18, 13, 23, 15, 19, 21, 24, 22]","(7.0, 418.0822996722732)"
34,334,[  7.         427.04279069],[0.         2.00552877],[  7.         418.08229967],[  7.         428.33196765],"[12, 14, 16, 1, 2, 4, 5, 3, 10, 11, 25, 20, 8, 7, 9, 6, 17, 18, 13, 23, 15, 19, 21, 24, 22]","(7.0, 418.0822996722732)"
35,318,[  7.         425.70026744],[0.       2.470064],[  7.         410.64631045],[  7.         427.78127779],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 24, 22]","(7.0, 410.6463104509269)"
36,328,[  7.         424.29607627],[0.         2.86163313],[  7.         410.64631045],[  7.         426.85014336],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 24, 22]","(7.0, 410.6463104509269)"
37,330,[  7.         422.03729616],[0.         2.76299286],[  7.         410.64631045],[  7.        425.9869244],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 24, 22]","(7.0, 410.6463104509269)"
38,326,[  7.        419.4695607],[0.         2.27178961],[  7.         410.64631045],[  7.         422.99082964],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 24, 22]","(7.0, 410.6463104509269)"
39,342,[  7.         417.78481684],[0.         2.21810569],[  7.         410.64631045],[  7.         421.00224199],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 24, 22]","(7.0, 410.6463104509269)"
40,332,[  7.         416.74882027],[0.         2.61062489],[  7.         410.64631045],[  7.         418.08229967],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 24, 22]","(7.0, 410.6463104509269)"
41,326,[  7.         415.09967175],[0.         3.21239539],[  7.         410.26008882],[  7.         418.08229967],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 20, 5, 7, 1, 2, 17, 18, 19, 11, 15, 13, 21, 24, 22]","(7.0, 410.2600888164564)"
42,340,[  7.         412.41871371],[0.         2.57358391],[  7.         408.65732948],[  7.         417.13598712],"[12, 14, 16, 3, 4, 6, 9, 8, 10, 23, 25, 20, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 24, 22]","(7.0, 408.6573294849599)"
43,344,[  7.         410.61742416],[0.         0.23159635],[  7.         408.09885669],[  7.         410.64631045],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 408.0988566859401)"
44,350,[  7.         410.57665521],[0.         0.35430079],[  7.         408.09885669],[  7.         410.64631045],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 408.0988566859401)"
45,360,[  7.         410.48737633],[0.         0.51868471],[  7.         408.09885669],[  7.         410.64631045],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 408.0988566859401)"
46,340,[  7.         410.26796669],[0.        0.7546089],[  7.         407.82358662],[  7.         410.64631045],"[12, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 407.8235866155033)"
47,350,[  7.         409.84066651],[0.         0.96891241],[  7.         406.10987572],[  7.         410.64631045],"[12, 14, 16, 3, 4, 6, 9, 8, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 406.10987571997316)"
48,330,[  7.         409.12271815],[0.         0.96651042],[  7.         406.10987572],[  7.         410.37104038],"[12, 14, 16, 3, 4, 6, 9, 8, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 406.10987571997316)"
49,326,[  7.         408.22859634],[0.         0.40086702],[  7.         406.10987572],[  7.         408.65732948],"[12, 14, 16, 3, 4, 6, 9, 8, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 406.10987571997316)"
50,356,[  7.         407.99909652],[0.         0.41420503],[  7.         406.10987572],[  7.         408.09885669],"[12, 14, 16, 3, 4, 6, 9, 8, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 406.10987571997316)"
51,350,[  7.         407.89851741],[0.         0.57295503],[  7.         406.10987572],[  7.         408.09885669],"[12, 14, 16, 3, 4, 6, 9, 8, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 406.10987571997316)"
52,346,[  7.         407.73388377],[0.         0.72242125],[  7.         406.10987572],[  7.         408.09885669],"[12, 14, 16, 3, 4, 6, 9, 8, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 406.10987571997316)"
53,330,[  7.         407.32931537],[0.         0.90089692],[  7.         406.10987572],[  7.         408.09885669],"[12, 14, 16, 3, 4, 6, 9, 8, 10, 23, 25, 24, 5, 7, 1, 2, 17, 18, 13, 11, 15, 19, 21, 20, 22]","(7.0, 406.10987571997316)"
54,338,[  7.         406.59438263],[0.         0.74070955],[  7.         403.63931651],[  7.         408.09885669],"[11, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 403.6393165073511)"
55,340,[  7.         406.08498511],[0.         0.22070531],[  7.         403.63931651],[  7.         406.10987572],"[11, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 403.6393165073511)"
56,332,[  7.         406.05364072],[0.        0.3330781],[  7.         403.63931651],[  7.         406.10987572],"[11, 14, 16, 3, 4, 6, 8, 9, 10, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 403.6393165073511)"
57,340,[  7.         405.98396465],[0.         0.48510505],[  7.         403.47284532],[  7.         406.10987572],"[11, 16, 14, 3, 4, 6, 8, 9, 10, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 403.4728453194943)"
58,330,[  7.         405.82811241],[0.         0.68321564],[  7.         403.47284532],[  7.         406.10987572],"[11, 16, 14, 3, 4, 6, 8, 9, 10, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 403.4728453194943)"
59,344,[  7.         405.50511375],[0.         0.91729766],[  7.         402.24486778],[  7.         406.10987572],"[11, 14, 16, 3, 4, 6, 9, 8, 10, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 402.24486778281505)"
60,334,[  7.        404.8160838],[0.         1.02056298],[  7.         402.16451605],[  7.         405.83460565],"[11, 14, 16, 3, 4, 6, 9, 8, 10, 20, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 23, 22]","(7.0, 402.164516053548)"
61,344,[  7.         403.84173786],[0.         0.67614517],[  7.         402.16451605],[  7.         405.16356317],"[11, 14, 16, 3, 4, 6, 9, 8, 10, 20, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 23, 22]","(7.0, 402.164516053548)"
62,364,[  7.         403.47204632],[0.         0.41173887],[  7.         402.16451605],[  7.         403.63931651],"[11, 14, 16, 3, 4, 6, 9, 8, 10, 20, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 23, 22]","(7.0, 402.164516053548)"
63,342,[  7.         403.25627874],[0.         0.58488306],[  7.         400.04775111],[  7.         403.63931651],"[19, 16, 14, 3, 4, 6, 8, 9, 10, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 11, 21, 22, 20]","(7.0, 400.04775110904023)"
64,344,[  7.         402.83089079],[0.         0.67140413],[  7.         399.56519999],[  7.         403.63931651],"[11, 16, 14, 10, 4, 6, 8, 9, 3, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 399.56519998716186)"
65,344,[  7.         402.22898848],[0.         0.46132271],[  7.         399.56519999],[  7.         402.97154658],"[11, 16, 14, 10, 4, 6, 8, 9, 3, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 399.56519998716186)"
66,358,[  7.         402.02138118],[0.         0.54135778],[  7.         399.56519999],[  7.         402.24486778],"[11, 16, 14, 10, 4, 6, 8, 9, 3, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 399.56519998716186)"
67,338,[  7.         401.72400423],[0.         0.76374543],[  7.         398.38048169],[  7.         402.21327617],"[11, 16, 14, 10, 4, 6, 9, 8, 3, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 398.3804816926691)"
68,336,[  7.         401.19032307],[0.        0.8976738],[  7.         398.38048169],[  7.         402.16451605],"[11, 16, 14, 10, 4, 6, 9, 8, 3, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 398.3804816926691)"
69,336,[  7.         400.43334477],[0.         0.72121476],[  7.         398.38048169],[  7.         401.41117721],"[11, 16, 14, 10, 4, 6, 9, 8, 3, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 398.3804816926691)"
70,334,[  7.       399.784618],[0.         0.47933446],[  7.         396.84452694],[  7.         400.07934272],"[11, 16, 14, 10, 5, 6, 8, 9, 3, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 396.8445269385806)"
71,338,[  7.         399.44932994],[0.         0.59578104],[  7.         396.84452694],[  7.         400.04775111],"[11, 16, 14, 10, 5, 6, 8, 9, 3, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 396.8445269385806)"
72,340,[  7.         398.97698348],[0.         0.60183385],[  7.         396.21495663],[  7.         399.56519999],"[11, 16, 14, 10, 4, 6, 9, 8, 3, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 22, 20]","(7.0, 396.21495663207264)"
73,344,[  7.         398.50207983],[0.         0.47663096],[  7.         396.21495663],[  7.        399.0464717],"[11, 16, 14, 10, 4, 6, 9, 8, 3, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 22, 20]","(7.0, 396.21495663207264)"
74,346,[  7.         398.16519161],[0.         0.52534288],[  7.         396.21495663],[  7.         398.38048169],"[11, 16, 14, 10, 4, 6, 9, 8, 3, 23, 25, 24, 7, 5, 1, 2, 17, 18, 13, 12, 15, 19, 21, 22, 20]","(7.0, 396.21495663207264)"
75,330,[  7.         397.88008483],[0.         0.71527097],[  7.         395.89821439],[  7.         398.38048169],"[11, 16, 14, 10, 5, 6, 8, 9, 3, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 20, 22]","(7.0, 395.8982143872146)"
76,334,[  7.         397.35597208],[0.         0.74051727],[  7.         395.80518663],[  7.         398.38048169],"[19, 16, 14, 10, 4, 6, 9, 8, 3, 23, 25, 24, 7, 2, 1, 5, 17, 18, 13, 12, 15, 11, 21, 20, 22]","(7.0, 395.80518662507785)"
77,326,[  7.         396.71795417],[0.         0.27252383],[  7.         395.06315719],[  7.         396.84452694],"[11, 16, 14, 10, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 395.06315719249113)"
78,318,[  7.         396.54198664],[0.         0.36011368],[  7.         394.93268113],[  7.         396.84452694],"[10, 16, 14, 11, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 394.93268112849586)"
79,350,[  7.         396.23555804],[0.         0.28607976],[  7.         394.93268113],[  7.         396.84452694],"[10, 16, 14, 11, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 394.93268112849586)"
80,350,[  7.         396.07872241],[0.        0.2672465],[  7.         394.93268113],[  7.         396.21495663],"[10, 16, 14, 11, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 20, 22]","(7.0, 394.93268112849586)"
81,336,[  7.         395.91480717],[0.         0.35070747],[  7.         394.11684464],[  7.         396.21495663],"[11, 16, 14, 10, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 20, 22]","(7.0, 394.11684464112506)"
82,330,[  7.         395.66266801],[0.         0.37417908],[  7.         394.11684464],[  7.         395.89821439],"[11, 16, 14, 10, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 20, 22]","(7.0, 394.11684464112506)"
83,350,[  7.        395.4133216],[0.         0.44027457],[  7.         393.73268933],[  7.         395.89821439],"[11, 16, 14, 10, 5, 6, 8, 9, 3, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 22, 20]","(7.0, 393.73268932661813)"
84,344,[  7.         395.03246805],[0.         0.30829446],[  7.         393.73268933],[  7.         395.71365789],"[11, 16, 14, 10, 5, 6, 8, 9, 3, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 22, 20]","(7.0, 393.73268932661813)"
85,354,[  7.         394.83890449],[0.         0.30877453],[  7.         393.73268933],[  7.         395.06315719],"[11, 16, 14, 10, 5, 6, 8, 9, 3, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 22, 20]","(7.0, 393.73268932661813)"
86,328,[  7.         394.66504474],[0.         0.42836168],[  7.         392.54797103],[  7.         394.93268113],"[11, 16, 14, 10, 5, 6, 9, 8, 3, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 22, 20]","(7.0, 392.5479710321253)"
87,342,[  7.         394.37586075],[0.         0.47313132],[  7.         392.54797103],[  7.         394.93268113],"[11, 16, 14, 10, 5, 6, 9, 8, 3, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 22, 20]","(7.0, 392.5479710321253)"
88,348,[  7.         393.96799956],[0.         0.28349268],[  7.         392.54797103],[  7.         394.62869359],"[11, 16, 14, 10, 5, 6, 9, 8, 3, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 22, 20]","(7.0, 392.5479710321253)"
89,344,[  7.         393.76767887],[0.         0.29881386],[  7.         392.54797103],[  7.         394.11684464],"[11, 16, 14, 10, 5, 6, 9, 8, 3, 23, 25, 24, 7, 4, 2, 1, 18, 17, 13, 12, 15, 19, 21, 22, 20]","(7.0, 392.5479710321253)"
90,336,[  7.         393.59282917],[0.         0.32951583],[  7.         392.28813044],[  7.         393.73268933],"[19, 16, 14, 11, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 10, 20, 21, 22]","(7.0, 392.2881304432924)"
91,320,[  7.       393.410161],[0.         0.44134732],[  7.         392.28813044],[  7.         393.73268933],"[19, 16, 14, 11, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 10, 20, 21, 22]","(7.0, 392.2881304432924)"
92,340,[  7.         393.07522327],[0.         0.44577758],[  7.         391.14907153],[  7.         393.73268933],"[19, 16, 14, 11, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 10, 21, 22, 20]","(7.0, 391.1490715346277)"
93,332,[  7.         392.67971008],[0.         0.18142948],[  7.         391.14907153],[  7.         392.85727549],"[19, 16, 14, 11, 5, 3, 8, 9, 6, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 10, 21, 22, 20]","(7.0, 391.1490715346277)"
94,340,[  7.        392.5731385],[0.         0.24217965],[  7.         391.01134166],[  7.         392.76715607],"[10, 16, 14, 11, 5, 3, 6, 9, 8, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 22, 20]","(7.0, 391.0113416646386)"
95,340,[  7.         392.45717688],[0.         0.27597967],[  7.         391.01134166],[  7.         392.54797103],"[10, 16, 14, 11, 5, 3, 6, 9, 8, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 22, 20]","(7.0, 391.0113416646386)"
96,336,[  7.         392.36163104],[0.         0.36329509],[  7.         391.01134166],[  7.         392.54797103],"[10, 16, 14, 11, 5, 3, 6, 9, 8, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 22, 20]","(7.0, 391.0113416646386)"
97,332,[  7.         392.16174988],[0.         0.44869575],[  7.         391.01134166],[  7.         392.54797103],"[10, 16, 14, 11, 5, 3, 6, 9, 8, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 15, 19, 21, 22, 20]","(7.0, 391.0113416646386)"
98,328,[  7.         391.91754231],[0.         0.53910027],[  7.         390.70735413],[  7.         392.28813044],"[10, 15, 14, 11, 5, 3, 6, 9, 8, 23, 25, 24, 7, 4, 2, 1, 17, 18, 13, 12, 16, 19, 21, 22, 20]","(7.0, 390.70735412663595)"
