Generation,evals,avg,std,min,max,best_one,fitness_best_one
22,330,[  7.         445.96260083],[0.         2.31474609],[  7.         437.53846677],[  7.         447.22029138],"[25, 24, 22, 21, 23, 8, 11, 4, 15, 13, 6, 9, 10, 7, 2, 1, 3, 5, 18, 19, 12, 14, 20, 17, 16]","(7.0, 437.53846676727426)"
23,354,[  7.         444.60682489],[0.         2.80041821],[  7.        431.5002757],[  7.         447.22029138],"[25, 24, 22, 21, 20, 10, 11, 9, 15, 13, 3, 4, 2, 1, 6, 7, 8, 5, 17, 19, 12, 14, 23, 18, 16]","(7.0, 431.50027569600275)"
24,332,[  7.         442.11673074],[0.         2.32260694],[  7.         428.84180158],[  7.         446.09113602],"[25, 24, 22, 21, 23, 10, 11, 4, 15, 13, 6, 9, 8, 7, 2, 1, 3, 5, 18, 19, 12, 14, 20, 17, 16]","(7.0, 428.84180157540067)"
25,336,[  7.        440.3921383],[0.         1.89969717],[  7.         428.84180158],[  7.         443.04937273],"[25, 24, 22, 21, 23, 10, 11, 4, 15, 13, 6, 9, 8, 7, 2, 1, 3, 5, 18, 19, 12, 14, 20, 17, 16]","(7.0, 428.84180157540067)"
26,356,[  7.         438.96103861],[0.         2.17256935],[  7.         428.84180158],[  7.         440.59164933],"[25, 24, 22, 21, 23, 10, 11, 4, 15, 13, 6, 9, 8, 7, 2, 1, 3, 5, 18, 19, 12, 14, 20, 17, 16]","(7.0, 428.84180157540067)"
27,348,[  7.         437.51425102],[0.         2.74809904],[  7.         427.29744267],[  7.         439.49245063],"[25, 24, 22, 21, 20, 10, 11, 9, 15, 13, 3, 4, 2, 1, 5, 7, 8, 6, 17, 19, 12, 14, 23, 18, 16]","(7.0, 427.29744266835235)"
28,330,[  7.         435.39998932],[0.         2.84670903],[  7.         427.29744267],[  7.         438.60299303],"[25, 24, 22, 21, 20, 10, 11, 9, 15, 13, 3, 4, 2, 1, 5, 7, 8, 6, 17, 19, 12, 14, 23, 18, 16]","(7.0, 427.29744266835235)"
29,336,[  7.         432.90148153],[0.         2.30696127],[  7.         427.29744267],[  7.         436.46994579],"[25, 24, 22, 21, 20, 10, 11, 9, 15, 13, 3, 4, 2, 1, 5, 7, 8, 6, 17, 19, 12, 14, 23, 18, 16]","(7.0, 427.29744266835235)"
30,332,[  7.         430.96690906],[0.         1.75123197],[  7.         426.31163203],[  7.         433.76475607],"[25, 24, 22, 20, 21, 23, 11, 4, 15, 13, 3, 9, 2, 1, 5, 7, 8, 6, 10, 14, 12, 16, 19, 17, 18]","(7.0, 426.3116320343273)"
31,342,[  7.         429.69243766],[0.         1.67903304],[  7.         426.31163203],[  7.        431.5002757],"[25, 24, 22, 20, 21, 23, 11, 4, 15, 13, 3, 9, 2, 1, 5, 7, 8, 6, 10, 14, 12, 16, 19, 17, 18]","(7.0, 426.3116320343273)"
32,350,[  7.        428.1634013],[0.         0.78089734],[  7.         425.20241777],[  7.         428.84180158],"[25, 24, 22, 20, 21, 10, 11, 9, 15, 13, 3, 4, 2, 1, 5, 7, 8, 6, 17, 19, 12, 14, 23, 18, 16]","(7.0, 425.2024177742451)"
33,332,[  7.        427.4651109],[0.         0.54696144],[  7.         425.20241777],[  7.         428.84180158],"[25, 24, 22, 20, 21, 10, 11, 9, 15, 13, 3, 4, 2, 1, 5, 7, 8, 6, 17, 19, 12, 14, 23, 18, 16]","(7.0, 425.2024177742451)"
34,340,[  7.         427.23852438],[0.         0.30148398],[  7.         424.90490121],[  7.         427.29744267],"[25, 24, 22, 21, 20, 10, 11, 9, 15, 13, 3, 4, 2, 1, 5, 7, 8, 6, 17, 18, 12, 14, 23, 19, 16]","(7.0, 424.90490120874114)"
35,336,[  7.         427.10846629],[0.         0.55282373],[  7.         423.38916502],[  7.         427.29744267],"[25, 24, 22, 20, 21, 10, 11, 9, 15, 13, 3, 4, 2, 1, 5, 7, 8, 6, 18, 19, 12, 14, 23, 17, 16]","(7.0, 423.3891650190864)"
36,334,[  7.         426.90591893],[0.         0.74080215],[  7.         422.56203527],[  7.         427.29744267],"[25, 24, 22, 20, 21, 23, 11, 4, 15, 13, 3, 9, 2, 1, 5, 7, 8, 6, 10, 14, 12, 16, 17, 19, 18]","(7.0, 422.56203526548745)"
37,336,[  7.         426.41160402],[0.         0.93732346],[  7.         421.96729768],[  7.         427.29744267],"[25, 24, 22, 20, 21, 23, 11, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 10, 14, 12, 16, 19, 17, 18]","(7.0, 421.9672976841965)"
38,354,[  7.         425.58212107],[0.         0.81705091],[  7.         421.96729768],[  7.         426.34663538],"[25, 24, 22, 20, 21, 23, 11, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 10, 14, 12, 16, 19, 17, 18]","(7.0, 421.9672976841965)"
39,316,[  7.         424.95851756],[0.         0.73465288],[  7.         421.96729768],[  7.         425.48418991],"[25, 24, 22, 20, 21, 23, 11, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 10, 14, 12, 16, 19, 17, 18]","(7.0, 421.9672976841965)"
40,330,[  7.        424.4286692],[0.         0.94509986],[  7.         421.74402823],[  7.         425.20241777],"[25, 24, 22, 21, 20, 10, 11, 9, 15, 13, 3, 4, 2, 1, 5, 7, 6, 8, 18, 19, 14, 12, 23, 17, 16]","(7.0, 421.744028226072)"
41,342,[  7.        423.6309852],[0.         0.93531196],[  7.         420.90592402],[  7.         424.76653306],"[25, 24, 22, 20, 21, 23, 9, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 11, 10, 14, 12, 16, 19, 17, 18]","(7.0, 420.9059240223204)"
42,338,[  7.         422.77017955],[0.         0.70903627],[  7.         420.90592402],[  7.         423.76780248],"[25, 24, 22, 20, 21, 23, 9, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 11, 10, 14, 12, 16, 19, 17, 18]","(7.0, 420.9059240223204)"
43,340,[  7.         422.12207811],[0.         0.48524652],[  7.         417.36836583],[  7.         423.38916502],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 4, 14, 12, 16, 19, 17, 18]","(7.0, 417.36836582733054)"
44,352,[  7.         421.91124618],[0.        0.4008221],[  7.         417.36836583],[  7.         421.96729768],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 4, 14, 12, 16, 19, 17, 18]","(7.0, 417.36836582733054)"
45,354,[  7.         421.84364239],[0.         0.58742674],[  7.         417.36836583],[  7.         421.96729768],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 4, 14, 12, 16, 19, 17, 18]","(7.0, 417.36836582733054)"
46,348,[  7.         421.61993168],[0.         0.97866839],[  7.         417.36836583],[  7.         421.96729768],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 4, 14, 12, 16, 19, 17, 18]","(7.0, 417.36836582733054)"
47,350,[  7.        421.0378929],[0.         1.52074198],[  7.         414.52750343],[  7.         421.96729768],"[24, 25, 22, 20, 21, 23, 11, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 16, 14, 12, 10, 19, 18, 17]","(7.0, 414.5275034300183)"
48,346,[  7.         420.01668905],[0.         1.94841646],[  7.         414.52750343],[  7.         421.74402823],"[24, 25, 22, 20, 21, 23, 11, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 16, 14, 12, 10, 19, 18, 17]","(7.0, 414.5275034300183)"
49,344,[  7.         418.26349695],[0.         1.47457008],[  7.         414.52750343],[  7.       421.005731],"[24, 25, 22, 20, 21, 23, 11, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 16, 14, 12, 10, 19, 18, 17]","(7.0, 414.5275034300183)"
50,334,[  7.        417.2026641],[0.         0.82496711],[  7.         414.52750343],[  7.         417.68882591],"[24, 25, 22, 20, 21, 23, 11, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 16, 14, 12, 10, 19, 18, 17]","(7.0, 414.5275034300183)"
51,322,[  7.         416.81977725],[0.         1.11269537],[  7.         414.52750343],[  7.         417.41214277],"[24, 25, 22, 20, 21, 23, 11, 4, 15, 13, 3, 6, 2, 1, 5, 7, 8, 9, 16, 14, 12, 10, 19, 18, 17]","(7.0, 414.5275034300183)"
52,344,[  7.         416.12260926],[0.         1.39706494],[  7.         412.24753908],[  7.         417.36836583],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 19, 17, 18]","(7.0, 412.24753907731326)"
53,346,[  7.         414.92156547],[0.         0.93776637],[  7.         412.24753908],[  7.         417.36836583],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 19, 17, 18]","(7.0, 412.24753907731326)"
54,344,[  7.         414.50333384],[0.         0.22000403],[  7.         412.24753908],[  7.         414.52750343],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 19, 17, 18]","(7.0, 412.24753907731326)"
55,348,[  7.         414.44360264],[0.         0.38563969],[  7.         412.24753908],[  7.         414.52750343],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 19, 17, 18]","(7.0, 412.24753907731326)"
56,342,[  7.         414.30811615],[0.         0.60831602],[  7.         412.24753908],[  7.         414.52750343],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 19, 17, 18]","(7.0, 412.24753907731326)"
57,344,[  7.         414.07657688],[0.         0.80372223],[  7.         412.24753908],[  7.         414.52750343],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 19, 17, 18]","(7.0, 412.24753907731326)"
58,336,[  7.         413.59021167],[0.         0.95381468],[  7.         412.24753908],[  7.         414.52750343],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 19, 17, 18]","(7.0, 412.24753907731326)"
59,340,[  7.        412.7933151],[0.         0.58901849],[  7.         411.74609429],[  7.         414.52750343],"[24, 25, 22, 20, 21, 10, 11, 4, 3, 13, 15, 6, 2, 1, 5, 7, 8, 9, 16, 14, 12, 23, 19, 18, 17]","(7.0, 411.7460942864887)"
60,354,[  7.         412.31684505],[0.         0.31336253],[  7.         408.49794231],[  7.         413.09084923],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 17, 19, 18]","(7.0, 408.49794230847345)"
61,328,[  7.         412.19943893],[0.         0.38459277],[  7.         408.49794231],[  7.         412.24753908],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 17, 19, 18]","(7.0, 408.49794230847345)"
62,336,[  7.        412.1415279],[0.         0.56928371],[  7.         408.49794231],[  7.         412.24753908],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 12, 16, 17, 19, 18]","(7.0, 408.49794230847345)"
63,338,[  7.         412.01703402],[0.         0.86228896],[  7.        405.2655191],[  7.         412.24753908],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 16, 12, 17, 19, 18]","(7.0, 405.26551909630024)"
64,346,[  7.         411.67500523],[0.         1.32142935],[  7.        405.2655191],[  7.         412.24753908],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 16, 12, 17, 19, 18]","(7.0, 405.26551909630024)"
65,334,[  7.         410.85014164],[0.         1.79923653],[  7.        405.2655191],[  7.         412.24753908],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 16, 12, 17, 19, 18]","(7.0, 405.26551909630024)"
66,340,[  7.        409.3822141],[0.         1.65194174],[  7.        405.2655191],[  7.         412.24753908],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 16, 12, 17, 19, 18]","(7.0, 405.26551909630024)"
67,348,[  7.         408.13011842],[0.         1.17690801],[  7.        405.2655191],[  7.         409.36289973],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 16, 12, 17, 19, 18]","(7.0, 405.26551909630024)"
68,356,[  7.         407.39028315],[0.         1.52759135],[  7.        405.2655191],[  7.         408.49794231],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 14, 16, 12, 17, 19, 18]","(7.0, 405.26551909630024)"
69,342,[  7.         406.28960265],[0.         1.50240991],[  7.         404.21947053],[  7.         408.49794231],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 404.2194705294841)"
70,326,[  7.         405.25505861],[0.         0.10408052],[  7.         404.21947053],[  7.        405.2655191],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 404.2194705294841)"
71,352,[  7.         405.23752214],[0.         0.16713563],[  7.         404.21947053],[  7.        405.2655191],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 404.2194705294841)"
72,328,[  7.         405.18598909],[0.         0.27519297],[  7.         404.21947053],[  7.        405.2655191],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 404.2194705294841)"
73,352,[  7.         405.10307458],[0.         0.37660661],[  7.         404.21947053],[  7.        405.2655191],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 404.2194705294841)"
74,332,[  7.         404.92561373],[0.        0.4858911],[  7.         404.21947053],[  7.        405.2655191],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 404.2194705294841)"
75,352,[  7.        404.6391281],[0.         0.50383146],[  7.         404.21947053],[  7.        405.2655191],"[25, 24, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 404.2194705294841)"
76,344,[  7.         404.21762479],[0.         0.03686869],[  7.        403.4811733],[  7.         404.21947053],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
77,336,[  7.        404.2139333],[0.         0.06369819],[  7.        403.4811733],[  7.         404.21947053],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
78,358,[  7.         404.20291044],[0.         0.10915584],[  7.        403.4811733],[  7.         404.21947053],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
79,346,[  7.         404.18629876],[0.         0.15281764],[  7.        403.4811733],[  7.         404.21947053],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
80,356,[  7.         404.13851584],[0.         0.23028201],[  7.        403.4811733],[  7.         404.21947053],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
81,324,[  7.         404.04120747],[0.       0.315084],[  7.        403.4811733],[  7.         404.21947053],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
82,344,[  7.         403.84143396],[0.         0.36711364],[  7.        403.4811733],[  7.         404.21947053],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
83,334,[  7.         403.48480463],[0.         0.01454809],[  7.        403.4811733],[  7.         403.73656312],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
84,358,[  7.        403.4811733],[0.00000000e+00 5.68434189e-14],[  7.        403.4811733],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
85,332,[  7.        403.4811733],[0.00000000e+00 5.68434189e-14],[  7.        403.4811733],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
86,356,[  7.        403.4811733],[0.00000000e+00 5.68434189e-14],[  7.        403.4811733],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
87,344,[  7.        403.4811733],[0.00000000e+00 5.68434189e-14],[  7.        403.4811733],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 8, 9, 6, 16, 14, 12, 17, 19, 18]","(7.0, 403.48117330359855)"
88,340,[  7.         403.47937916],[0.         0.03583796],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
89,334,[  7.         403.47937916],[0.         0.03583796],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
90,322,[  7.         403.47579088],[0.        0.0619174],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
91,326,[  7.         403.47579088],[0.        0.0619174],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
92,330,[  7.         403.46682017],[0.         0.10047196],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
93,342,[  7.         403.45426117],[0.       0.136343],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
94,342,[  7.         403.42734904],[0.        0.1890246],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
95,342,[  7.         403.36993649],[0.         0.25972337],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
96,338,[  7.         403.27305282],[0.         0.32564544],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
97,348,[  7.         403.09722689],[0.         0.35794822],[  7.         402.76351646],[  7.        403.4811733],"[24, 25, 22, 20, 21, 23, 11, 10, 15, 13, 3, 4, 2, 1, 5, 7, 6, 9, 8, 16, 14, 12, 17, 19, 18]","(7.0, 402.7635164551272)"
